Fact_ID,State,Year,Population,FK_Substance_Group,FK_User_Type,Population_Totals,Population_Rates,FK_Age_Group
40344,Oregon,2008,292301,Marijuana,New Users,18,78.746,12_17
40345,Pennsylvania,2008,980441,Marijuana,New Users,48,53.672,12_17
40346,Rhode Island,2008,81128,Marijuana,New Users,5,71.963,12_17
40347,South Carolina,2008,356186,Marijuana,New Users,16,47.737,12_17
40348,South Dakota,2008,64983,Marijuana,New Users,3,51.693,12_17
40349,Tennessee,2008,494043,Marijuana,New Users,20,41.055,12_17
40350,Texas,2008,2113980,Marijuana,New Users,99,52.017,12_17
40351,Utah,2008,252460,Marijuana,New Users,11,39.417,12_17
40352,Vermont,2008,47705,Marijuana,New Users,3,73.72,12_17
40353,Virginia,2008,604833,Marijuana,New Users,32,59.806,12_17
40354,Washington,2008,522369,Marijuana,New Users,25,56.826,12_17
40355,West Virginia,2008,132189,Marijuana,New Users,7,53.306,12_17
40356,Wisconsin,2008,450304,Marijuana,New Users,24,61.569,12_17
40357,Wyoming,2008,42168,Marijuana,New Users,2,64.722,12_17
40358,Alabama,2009,375942,Marijuana,New Users,16,45.413,12_17
40359,Alaska,2009,58753,Marijuana,New Users,3,68.671,12_17
40360,Arizona,2009,538672,Marijuana,New Users,28,63.267,12_17
40361,Arkansas,2009,231881,Marijuana,New Users,10,50.029,12_17
40362,California,2009,3101979,Marijuana,New Users,185,68.778,12_17
40363,Colorado,2009,381533,Marijuana,New Users,28,93.085,12_17
40364,Connecticut,2009,283906,Marijuana,New Users,17,72.289,12_17
40365,Delaware,2009,67805,Marijuana,New Users,4,72.456,12_17
40366,District of Columbia,2009,34683,Marijuana,New Users,2,75.27,12_17
40367,Florida,2009,1336737,Marijuana,New Users,68,56.871,12_17
40368,Georgia,2009,820145,Marijuana,New Users,42,60.873,12_17
40369,Hawaii,2009,91104,Marijuana,New Users,4,68.462,12_17
40370,Idaho,2009,131965,Marijuana,New Users,7,57.095,12_17
40371,Illinois,2009,1053276,Marijuana,New Users,52,56.662,12_17
40372,Indiana,2009,525525,Marijuana,New Users,27,56.354,12_17
40373,Iowa,2009,236022,Marijuana,New Users,13,59.671,12_17
40374,Kansas,2009,226545,Marijuana,New Users,12,56.09,12_17
40375,Kentucky,2009,334420,Marijuana,New Users,16,51.507,12_17
40376,Louisiana,2009,367519,Marijuana,New Users,15,41.064,12_17
40377,Maine,2009,96374,Marijuana,New Users,5,59.333,12_17
40378,Maryland,2009,452038,Marijuana,New Users,22,55.942,12_17
40379,Massachusetts,2009,494016,Marijuana,New Users,32,80.167,12_17
40380,Michigan,2009,822105,Marijuana,New Users,43,60.387,12_17
40381,Minnesota,2009,413410,Marijuana,New Users,20,54.237,12_17
40382,Mississippi,2009,248816,Marijuana,New Users,10,41.618,12_17
40383,Missouri,2009,476436,Marijuana,New Users,24,56.103,12_17
40384,Montana,2009,73735,Marijuana,New Users,5,75.259,12_17
40385,Nebraska,2009,142549,Marijuana,New Users,6,45.193,12_17
40386,Nevada,2009,212438,Marijuana,New Users,11,65.137,12_17
40387,New Hampshire,2009,103281,Marijuana,New Users,6,74.198,12_17
40388,New Jersey,2009,695052,Marijuana,New Users,38,60.017,12_17
40389,New Mexico,2009,161555,Marijuana,New Users,10,82.723,12_17
40390,New York,2009,1509858,Marijuana,New Users,76,57.09,12_17
40391,North Carolina,2009,723670,Marijuana,New Users,36,53.58,12_17
40392,North Dakota,2009,47211,Marijuana,New Users,2,45.227,12_17
40393,Ohio,2009,924820,Marijuana,New Users,47,56.801,12_17
40394,Oklahoma,2009,292084,Marijuana,New Users,15,55.546,12_17
40395,Oregon,2009,288096,Marijuana,New Users,17,74.868,12_17
40396,Pennsylvania,2009,962444,Marijuana,New Users,50,58.092,12_17
40397,Rhode Island,2009,79655,Marijuana,New Users,5,71.737,12_17
